This product includes software developed by Verba e.V.

This product uses third-party packages licensed under BSD, MIT, and Apache-2.0 licenses. See respective source repositories for details.

Overview of third-party packages:

github.com/hhrutter/lzw,https://github.com/hhrutter/lzw/blob/v1.0.0/LICENSE,BSD-3-Clause
github.com/hhrutter/pkcs7,https://github.com/hhrutter/pkcs7/blob/v0.2.0/LICENSE,MIT
github.com/hhrutter/tiff,https://github.com/hhrutter/tiff/blob/v1.0.2/LICENSE,BSD-3-Clause
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.16/LICENSE,MIT
github.com/pdfcpu/pdfcpu,https://github.com/pdfcpu/pdfcpu/blob/v0.11.0/LICENSE.txt,Apache-2.0
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/rivo/uniseg,https://github.com/rivo/uniseg/blob/v0.4.7/LICENSE.txt,MIT
golang.org/x/crypto/ocsp,https://cs.opensource.google/go/x/crypto/+/v0.38.0:LICENSE,BSD-3-Clause
golang.org/x/image,https://cs.opensource.google/go/x/image/+/v0.27.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.25.0:LICENSE,BSD-3-Clause
gopkg.in/yaml.v2,https://github.com/go-yaml/yaml/blob/v2.4.0/LICENSE,Apache-2.0

